id,movie,year,country_id,rating_ball,overview,url_logo
126,Как украсть миллион ,1966,0,8.204,Действие происходит в Париже. Молодая девушка дочь миллионера втайне промышляющего подделкой произведений искусства и преступник должны выкрасть с выставки изобразительного искусства в музее один из «шедевров» отца девушки чтобы спасти его от разоблачения.,https://st.kp.yandex.net/images/film_iphone/iphone360_10156.jpg
127,Семь жизней ,2008,0,8.177,Инженер Бен отправляется в необычное путешествие. В ходе своей поездки он встречает семерых незнакомцев включая смертельно больную Эмили которая называет себя девушкой с подбитыми крыльями. Бен неожиданно влюбляется в нее что сильно усложняет его первоначальный план. Сможет ли он разгадать послание судьбы?,https://st.kp.yandex.net/images/film_iphone/iphone360_395787.jpg
128,Шерлок Холмс и доктор Ватсон: Король шантажа ,1980,2,8.355,К Шерлоку Холмсу за помощью обращается некая леди Брекуэлл одна из жертв известного лондонского шантажиста по имени Чарльз Огестос Милвертон. Если великий сыщик не остановит циничного негодяя семейное благополучие молодой леди окажется под угрозой. Шерлок Холмс и доктор Ватсон как истинные джентельмены не могут отказать в помощи беззащитной женщине.,https://st.kp.yandex.net/images/film_iphone/iphone360_368936.jpg
129,Легенда о пианисте ,1998,3,8.138,В первый день XX века на пароходе «Вирджиния» в коробке из-под лимонов был найден младенец. Мальчик рос и проводил свою жизнь на громадном океанском лайнере курсировавшем между Америкой и Европой и он ни разу не сходил на берег.Загадочным образом научившись играть на рояле Дэнни Будманн Т. Д. Лемон 1900-й стал настоящим виртуозом и развлекал публику играя в ресторанном оркестре. С ним связаны удивительные истории а его жизнь превратилась в легенду.,https://st.kp.yandex.net/images/film_iphone/iphone360_8335.jpg
130,Меня зовут Кхан ,2010,12,8.091,Ризван Кхан мусульманин из Индии переезжает в Сан-Франциско и живет со своим братом и невесткой. Ризван страдающий от Синдрома Аспергера влюбляется в Мандиру. Несмотря на протесты его семьи они женятся и начинают вместе небольшой бизнес. Они живут счастливо до 11 сентября 2001 года когда отношение к мусульманам резко меняется. Когда происходит трагедия Мандира оказывается раздавленной и их отношения дают трещину. Ризван растерян и очень расстроен тем что любовь всей его жизни покинула его. Чтобы вернуть ее он предпринимает трогательное и вдохновляющее путешествие через всю Америку.,https://st.kp.yandex.net/images/film_iphone/iphone360_406340.jpg
131,Афера ,1973,0,8.138,В 1930-е годы двое отпетых мошенников пытаются отомстить главарю мафии за смерть их общего друга с помощью одной из самых неожиданных афер в истории кино которая к тому же заканчивается удивительным и забавным образом.,https://st.kp.yandex.net/images/film_iphone/iphone360_383.jpg
132,Привидение ,1990,0,8.164,Влюблённая пара Сэм и Молли возвращается домой после приятного вечера когда на них нападает грабитель. Защищаясь Сэм погибает и становится призраком. Он узнаёт что его смерть не была случайной а над его возлюбленной нависла смертельная опасность. Чтобы предупредить Молли Сэм начинает обход практикующих медиумов и о чудо! — находит женщину которая действительно может его слышать. Только вот сама она не горит желанием помогать назойливому привидению.,https://st.kp.yandex.net/images/film_iphone/iphone360_1991.jpg
133,Танцующий с волками ,1990,0,8.11,США во времена Гражданской войны. Лейтенант Джон Данбар после ранения в бою просит перевести его на новое место службы ближе к западной границе США. Новое место его службы — отдалённый маленький форт. Командир покончил жизнь самоубийством а попутчик Данбара погиб в стычке с индейцами после того как довез лейтенанта до места назначения. Людей знающих что Данбар остался один в форте и должен выжить в условиях суровой природы и в соседстве с кажущимися негостеприимными коренными обитателями Северной Америки просто не осталось. Постепенно лейтенант осваивается и заводит дружбу с индейцами.,https://st.kp.yandex.net/images/film_iphone/iphone360_2037.jpg
134,12 стульев ,1971,2,8.244,Во время революции и последовавшего за ней краткого периода военного коммунизма многие прятали свои ценности как можно надежнее. И вот Ипполит Матвеевич Воробьянинов бывший Старгородский предводитель дворянства и светский лев а ныне — скромный делопроизводитель ЗАГСа узнает от умирающей тещи что некогда она спрятала свои бриллианты и жемчуга в общей сложности на 150 000 золотых рублей под обивку одного из двенадцати стульев гостиного гарнитура работы известного мастера Гамбса.Бросив все Воробьянинов бросается на поиски стульев в чем ему конечно же небескорыстно берется помочь молодой авантюрист «великий комбинатор» Остап Бендер. Найти следы разрозненного гарнитура непросто. Не облегчает положения и то что перед смертью теща Воробьянинова открыла тайну сокровищ и своему исповеднику отцу Федору всю жизнь мечтавшему о собственном свечном заводике в Самаре…,https://st.kp.yandex.net/images/film_iphone/iphone360_46789.jpg
135,Жизнь Дэвида Гейла ,2002,0,8.057,Дэвид Гейл — человек который пробовал жить в соответствии со своими принципами но в причудливом повороте судьбы этот преданный отец популярный профессор и ярый противник смертной казни окажется в камере смертников за убийство активистки Констанции Харравей. За три дня до исполнения приговора Гейл соглашается дать интервью репортеру Битси Блум.Но журналистка вскоре понимает что ее участие в этом деле не ограничится одним интервью и что жизнь человека находится в ее руках. Поставив на кон свою собственную безопасность она начинает расследовать те ужасные события которые окружали смерть Констанции.,https://st.kp.yandex.net/images/film_iphone/iphone360_738.jpg
136,Рэй ,2004,0,8.05,История жизни великого американского музыканта Рэя Чарльза. Нищее детство потеря брата ранняя слепота наркотики женщины 12 детей борьба с расизмом а также незаурядный талант блестящая карьера и настоящая революция в музыке.,https://st.kp.yandex.net/images/film_iphone/iphone360_5319.jpg
137,Шерлок Холмс и доктор Ватсон: Сокровища Агры ,1983,2,8.348,Здесь есть все — таинственные обстоятельства убийства сверкающие драгоценности колоритнейшие фигуры. Но главное — в ходе расследования доктор Ватсон встречает женщину с которой быть может надолго свяжет свою жизнь…,https://st.kp.yandex.net/images/film_iphone/iphone360_77264.jpg
138,Терминал ,2004,0,8.069,Фильм рассказывает историю Виктора Наворски отправившегося в Нью-Йорк из Восточной Европы. Пока Виктор летел в самолете на его родине произошел государственный переворот. Оказавшись в международном аэропорту имени Джона Кеннеди с паспортом ниоткуда он не имеет права въехать в Соединенные Штаты и должен коротать свои дни и ночи на скамейках у выхода 67 пока война в его родной стране не закончится.Тянутся недели и месяцы и Виктор обнаруживает что небольшой мирок терминала может быть наполнен абсурдом щедростью амбициями развлечениями желанием сохранить свой статус интуитивной прозорливостью и даже любовью к очаровательной стюардессе Амелии. Виктору удается завоевать симпатии всех кроме одного человека — чиновника аэропорта Фрэнка Диксона который считает его бюрократической ошибкой проблемой которую он не может контролировать но от которой жаждет избавиться.,https://st.kp.yandex.net/images/film_iphone/iphone360_6877.jpg
139,Самый быстрый Indian ,2005,5,8.029,История жизни знаменитого новозеландца Берта Монро который потратил десятилетия жизни на переоснащение своего любимого мотоцикла марки «Индиан» 1920 года выпуска с максимальной скоростью в 58 миль/ч в гоночный болид для установления рекорда скорости.,https://st.kp.yandex.net/images/film_iphone/iphone360_81512.jpg
140,Назад в будущее 3 ,1990,0,8.168,Из газет 1955 года Марти узнает что доктор Браун погиб еще сто лет назад. Несмотря на просьбы Дока не навещать его в XIX веке Марти вновь хочет вмешаться в ход событий и на машине времени уносится в 1885 год навстречу Дикому Западу. Это путешествие как и все прежние не обходится без опасных приключений но смелый Марти рискуя жизнью предотвращает трагедию в жизни Эммета Брауна. Тот в свою очередь без памяти влюбляется в очаровательную незнакомку которую спасает от гибели и поездка домой — в будущее — теряет для него всякий смысл…,https://st.kp.yandex.net/images/film_iphone/iphone360_7103.jpg
141,Умница Уилл Хантинг ,1997,0,8.074,Уилл Хантинг — 20-летний вундеркинд из Бостона который то и дело ввязывается в неприятные истории. И когда полиция арестовывает его за очередную драку профессор математики берет его под свою опеку но при одном условии: Уилл должен пройти курс психотерапии. Сеансы «перевоспитания» начавшиеся с недоверия постепенно перерастают в дружбу между Уиллом и его наставником.,https://st.kp.yandex.net/images/film_iphone/iphone360_539.jpg
142,Славные парни ,1990,0,8.117,История о Генри Хилле — начинающем гангстере занимающемся грабежами вместе с подельниками Джими Конвеем и Томми Де Вито которые с легкостью убивают любого кто встаёт у них на пути.,https://st.kp.yandex.net/images/film_iphone/iphone360_350.jpg
143,Пираты Карибского моря: Сундук мертвеца ,2006,0,8.089,Вновь оказавшись в ирреальном мире лихой капитан Джек Воробей неожиданно узнает что является должником легендарного капитана «Летучего Голландца» Дэйви Джонса. Джек должен в кратчайшие сроки решить эту проблему иначе ему грозит вечное проклятие и рабское существование после смерти. Вдобавок ко всему срывается свадьба Уилла Тернера и Элизабет Суонн которые вынуждены составить Джеку компанию в его злоключениях…,https://st.kp.yandex.net/images/film_iphone/iphone360_63991.jpg
144,Лицо со шрамом ,1983,0,8.181,Весной 1980 года был открыт порт Мэйриэл Харбор и тысячи кубинских беженцев ринулись в Соединенные Штаты на поиски Американской Мечты. Один из них нашел ее на залитых солнцем улицах Майами. Богатство власть и страсть превзошли даже самые невероятные его мечты. Его звали Тони Монтана. Мир запомнил его под другим именем — «Лицо со шрамом»…,https://st.kp.yandex.net/images/film_iphone/iphone360_4695.jpg
145,На несколько долларов больше ,1965,3,8.165,Заработать несколько лишних долларов честным путем на диком Западе не проблема если у тебя есть проверенный кольт и разрешение властей на отстрел бандитов. Этим путем и идут бок о бок профессиональные охотники за головами негодяев «Человек без имени» и полковник Мортимер общая цель которых — преступная банда мексиканца Индио.,https://st.kp.yandex.net/images/film_iphone/iphone360_8190.jpg
146,Ледниковый период ,2002,0,8.015,Действие разворачивается 20 тыс. лет назад. Чтобы избежать приближающегося из-за наступления ледникового периода холода животные мигрируют на юг. Однако некоторые из них всё-таки решают остаться — одинокий угрюмый мамонт Манфред а также бесшабашный ленивец Сид.Случайно эта парочка наталкивается на человеческого детёныша. Они решаются вернуть его людям и отправляются в путешествие. По пути они встречают саблезубого хитрого тигра. И теперь этой веселой компании предстоят забавные приключения!,https://st.kp.yandex.net/images/film_iphone/iphone360_707.jpg
147,Головоломка ,2015,0,8.008,Райли — обычная 11-летняя школьница и как у каждого из нас ее поведение определяют пять базовых эмоций: Радость Печаль Страх Гнев и Брезгливость. Эмоции живут в сознании девочки и каждый день помогают ей справляться с проблемами руководя всеми ее поступками. До поры до времени эмоции живут дружно но вдруг оказывается что Райли и ее родителям предстоит переезд из небольшого уютного городка в шумный и людный мегаполис. Каждая из эмоций считает что именно она лучше прочих знает что нужно делать в этой непростой ситуации и в голове у девочки наступает полная неразбериха. Чтобы наладить жизнь в большом городе освоиться в новой школе и подружиться с одноклассниками эмоциям Райли предстоит снова научиться работать сообща.,https://st.kp.yandex.net/images/film_iphone/iphone360_645118.jpg
148,Король говорит! ,2010,6,7.977,Сюжет ленты расскажет о герцоге который готовится вступить в должность британского короля Георга VI отца нынешней королевы Елизаветы II. После того как его брат отрекается от престола герой неохотно соглашается на трон. Измученный страшным нервным заиканием и сомнениями в своих способностях руководить страной Георг обращается за помощью к неортодоксальному логопеду по имени Лайонел Лог.,https://st.kp.yandex.net/images/film_iphone/iphone360_485311.jpg
149,Блеф ,1976,3,8.232,Белль Дюк имеет старые счеты с Филиппом Бэнгом который отбывает свой срок за решёткой. Для того чтобы поквитаться с Филиппом Белль Дюк вступает в сговор с другим аферистом по имени Феликс чтобы тот организовал побег Филиппа Бенга из тюрьмы.Побег удаётся но парочка заодно обманывает и Белль Дюк исчезнув прямо из-под её носа. Выясняется что и Филипп Бэнг в свою очередь не прочь отомстить Белль Дюк. Для этого он задумывает грандиозную мистификацию сродни покерному блефу…,https://st.kp.yandex.net/images/film_iphone/iphone360_10179.jpg
150,Ромео и Джульетта ,1968,6,8.21,На балу во дворце Капулетти зарождается любовь двух юных существ судьбою обреченных на ненависть. Ромео Монтекки и Джульетта Капулетти полюбили друг друга на свою беду ведь их семьи ведут смертельную вражду уже многие многие годы…Но их любовь сильнее родовой вражды сильнее предрассудков и непреодолимых препятствий. Великая сила этой любви побеждает все даже смерть…,https://st.kp.yandex.net/images/film_iphone/iphone360_15204.jpg
151,Перед классом ,2008,0,8.076,С шести лет Брэд страдает синдромом Туретта. Его симптомы — частые моторные и вокальные тики которые невозможно подавить. Тем не менее Брэд бросает вызов всем барьерам и неприятностям и даже двадцать четыре отказа подряд не останавливают его на пути к мечте стать учителем.,https://st.kp.yandex.net/images/film_iphone/iphone360_428457.jpg
152,Планета Ка-Пэкс ,2001,4,8.015,"В Манхэттенский психиатрический институт привозят странного человека в черных очках. Он зовет себя Протом и утверждает что его родина — далекая планета Ка-Пэкс откуда он мгновенно перенесся на Землю в луче света. Несмотря на все усилия опытному доктору Пауэллу не удается разгадать загадку таинственного пациента который охотно и весьма убедительно доказывает всем свое внеземное происхождение и заранее назначает дату своего возвращения на Ка-Пэкс. 

Вскоре Марка Пауэлла так и не сумевшего приоткрыть тайну личности своего самого удивительного подопечного начинает тревожить невероятная но навязчивая мысль: может быть Прот вовсе не сумасшедший и в его словах есть доля правды…",https://st.kp.yandex.net/images/film_iphone/iphone360_723.jpg
153,Золотой теленок ,1968,2,8.192,«Великий комбинатор» Остап Бендер с детства мечтает о Рио-де-Жанейро. Ему известны множество способов «сравнительно честного отъема денег у граждан». Но — где же в Советской России найти гражданина обладающего хотя бы полумиллионом рублей? И вот подпольный миллионер выдающий себя за скромного служащего на нищенском жалованьи найден.И должен сам принести деньги Остапу «на блюдечке с голубой каемочкой». Как же великий комбинатор добьется этого? Сбудется ли мечта его детства? Об этом расскажет зрителю этот фильм с великолепным актерским ансамблем — Сергей Юрский Леонид Куравлев Зиновий Гердт Евгений Евстигнеев…,https://st.kp.yandex.net/images/film_iphone/iphone360_45389.jpg
154,Шерлок Холмс ,2009,0,8.069,Величайший в истории сыщик Шерлок Холмс вместе со своим верным соратником Ватсоном вступают в схватку требующую нешуточной физической и умственной подготовки ведь их враг представляет угрозу для всего Лондона.,https://st.kp.yandex.net/images/film_iphone/iphone360_420923.jpg
155,Амели ,2001,1,7.996,Знаете ли вы что все события происходящие в нашем мире даже самые незначительные взаимосвязаны самым удивительным и чудесным образом?Как полет крошечной мухи может вызвать где-то далеко мощный ураган так и странные и на первый взгляд непонятные поступки тихой и одинокой девушки живущей в мире своих фантазий могут навсегда изменить жизнь совершенно разных людей подарив им счастье и раскрасив окружающий мир яркими головокружительными красками. Эту девушку зовут Амели Пулен.,https://st.kp.yandex.net/images/film_iphone/iphone360_341.jpg
156,Семь самураев ,1954,8,8.152,Япония XVI век. В стране полыхает гражданская война повсюду орудуют банды разбойников и мародеров. Бедные крестьяне нанимают для защиты деревни семерых самураев которые немного сплачивают раздробленных и малодушных селян в процессе подготовки и укрепления деревни.,https://st.kp.yandex.net/images/film_iphone/iphone360_332.jpg
157,В случае убийства набирайте «М» ,1954,0,8.113,Тони Вендис бывший плейбой и звезда большого тенниса прожигающий деньги своей красавицы-жены Марго решается на преступление когда узнает что может лишиться ее миллионов так как Марго увлеклась американским писателем детективных романов Марком Холлидэем.Тони придумывает план идеального убийства находит надежного исполнителя и организует себе безупречное алиби. Он предусматривает все кроме необычного поведения Марго и аналитических способностей Марка…,https://st.kp.yandex.net/images/film_iphone/iphone360_9028.jpg
158,Нюрнбергский процесс ,1961,0,8.127,В Нюрнберге идет процесс над нацистскими преступниками. Слушаются дела юристов служивших нацистскому режиму. Главный обвиняемый — известный немецкий судья Эрнст Янинг добившийся уважения в Германии задолго до прихода к власти Гитлера. Дело ведет опытный американский судья Ден Хэйвуд которому предстоит разобраться в этом сложном и неоднозначном деле ведь на кону стоит не столько жизнь и честь человека сколько послевоенная жизнь и честь всего немецкого народа.,https://st.kp.yandex.net/images/film_iphone/iphone360_13738.jpg
159,Бешеные псы ,1991,0,8.115,Это должно было стать идеальным преступлением. Задумав ограбить ювелирный магазин криминальный босс Джо Кэбот собрал вместе шестерых опытных и совершенно незнакомых друг с другом преступников. Но с самого начала все пошло не так и обычный грабеж превратился в кровавую бойню.,https://st.kp.yandex.net/images/film_iphone/iphone360_394.jpg
160,Заплати другому ,2000,0,8.074,Представьте себе — Вы оказываете кому-либо существенную услугу и просите этого человека отблагодарить не Вас а трёх других людей которые в свою очередь отблагодарят ещё троих и так далее распространяя тепло и доброту в мировом масштабе. Насколько действенной может оказаться подобная сердечная идея? Ученик седьмого класса Тревор МакКинни решил это проверить начав цепочку добра.,https://st.kp.yandex.net/images/film_iphone/iphone360_782.jpg
161,Корпорация монстров ,2001,0,8.074,Склизкий гад в сливном бачке мохнатый зверь похожий на чудовище из «Аленького цветочка» гигантские мокрицы под кроватью — все они существуют на самом деле. Все что им нужно — пугать детей потому что из детских криков они получают электричество.Полнометражный мультфильм рассказывает о кризисах в мире монстров их жизни. Но однажды вся мирная жизнь монстров оказывается под угрозой: в их мир попадает ребенок. А с детьми столько хлопот что они могут довести даже монстров.,https://st.kp.yandex.net/images/film_iphone/iphone360_458.jpg
162,Вам и не снилось... ,1980,2,8.189,Школьники Роман и Катя тянутся друг к другу со всей безоглядностью первой любви. Мать Кати очень счастлива во втором браке и в озарении этого счастья хорошо понимает дочь. Роман находит поддержку у отца давно и безответно любящего Катину маму. Но рядом ходят люди ничего не знающие о любви…,https://st.kp.yandex.net/images/film_iphone/iphone360_45660.jpg
163,Вечное сияние чистого разума ,2004,0,8.025,Застенчивый и меланхоличный Джоэл живёт ничем не примечательной серой и унылой жизнью. Но однажды вместо привычного рабочего маршрута молодой человек вдруг садится на электричку в другом направлении и устремляется к морю. На песчаном берегу Джоэл замечает девушку с ярко-синими волосами. На обратном пути они знакомятся в вагоне электрички и парень понимает что у них с Клементиной очень много общего как будто он уже знает эту девушку. Совсем скоро Джоэл поймёт что действительно был знаком с ней более того — они были парой.,https://st.kp.yandex.net/images/film_iphone/iphone360_5492.jpg
164,Три билборда на границе Эббинга Миссури ,2017,6,8.17,Спустя несколько месяцев после убийства дочери Милдред Хейс преступники так и не найдены. Отчаявшаяся женщина решается на смелый шаг арендуя на въезде в город три билборда с посланием к авторитетному главе полиции Уильяму Уиллоуби. Когда в ситуацию оказывается втянут ещё и заместитель шерифа инфантильный маменькин сынок со склонностью к насилию офицер Диксон борьба между Милдред и властями города только усугубляется.,https://st.kp.yandex.net/images/film_iphone/iphone360_944098.jpg
165,Ганди ,1982,6,8.06,В 1869 году когда Ганди родился его страна ещё была украшением Британской империи и одной из драгоценностей королевы Виктории. 30 января 1948 года в день его убийства Индия была свободной. Это стало плодом его трудов трудов долгой титанической жизни.,https://st.kp.yandex.net/images/film_iphone/iphone360_513.jpg
166,Апокалипсис сегодня ,1979,0,8.144,Во время Вьетнамской войны капитан Уиллард отправляется вверх по реке в Камбоджу со спецзаданием: найти и убить сумасшедшего полковника Курца создавшего в отдалённом районе нечто вроде собственного культа. По пути капитан становится свидетелем безумия и ужасов войны.,https://st.kp.yandex.net/images/film_iphone/iphone360_354.jpg
167,Воин ,2011,0,8.028,Томми Конлон — молодой боец вернувшийся домой после долгого отсутствия чтобы приготовиться к участию в большом турнире. Отец-пьяница в прошлом талантливый боксер берется тренировать сына.,https://st.kp.yandex.net/images/film_iphone/iphone360_442568.jpg
168,Тот самый Мюнхгаузен ,1979,2,8.276,Комическая фантазия о жизни любви и смерти знаменитого барона Мюнхгаузена жившего в XVIII веке и ставшего героем многих веселых книг и преданий опирается на персонажей и эпизоды знаменитого романа Р. Распе но по сути является самостоятельным произведением.«Мыслящий человек просто обязан время от времени поднимать себя за волосы» — похоже это и удается авторам картины. Барон хочет жениться на любимой им Марте но церковь отказывается обвенчать их так как имеется живая жена «усмирявшая его 20 лет». Уставшая Марта хочет чтобы барон стал таким как все но барон этого не хочет да и не может.Герцог разрешит брак только в том случае если барон письменно подтвердит что все его истории лживы а он сам — обыкновенный человек.,https://st.kp.yandex.net/images/film_iphone/iphone360_77283.jpg
169,Белый плен ,2005,0,8.121,Действие фильма разворачивается на бескрайних просторах Антарктики. Научная экспедиция в состав которой входят Джерри Шепард его лучший друг Купер и геолог отправляется на поиски метеорита.Однако неожиданное происшествие и тяжелые погодные условия вынуждают их оставить свои собачьи упряжки и вернуться назад. И теперь восемь собак должны в течение шести месяцев бороться за выживание в ледяной пустыне и ждать пока их спасут…,https://st.kp.yandex.net/images/film_iphone/iphone360_79204.jpg
170,Андрей Рублев ,1966,2,8.17,Русь начала XV века. Страну раздирают княжеские междоусобицы. Набеги татар голод и мор преследуют народ… В эту трагическую эпоху появляется на Руси великий живописец жизни и творчеству которого посвящен фильм.Сведения о нем скудны и отрывочны. Лишь немногие творения гениального мастера дошли до нас. Авторы фильма стремились воссоздать духовный мир Андрея Рублева.,https://st.kp.yandex.net/images/film_iphone/iphone360_8385.jpg
171,Отец солдата ,1964,2,8.24,Противоестественность войны для человека — труженика созидателя — показана на примере судьбы старого крестьянина-виноградаря из Грузии. Георгий Махарашвили едет повидаться с сыном который ранен и находится в госпитале.Но пока отец добирается до места назначения сын снова отправляется на фронт. Однако Георгий уже не может вернуться в родную деревню. Он вместе с советской армией проходит весь ее путь — путь до Берлина до Победы над фашизмом.,https://st.kp.yandex.net/images/film_iphone/iphone360_44218.jpg
172,Звёздные войны: Эпизод 3 – Месть Ситхов ,2005,0,8.053,Идёт третий год Войн клонов. Галактическая Республика некогда бывшая спокойным и гармоничным государством превратилась в поле битвы между армиями клонов возглавляемых канцлером Палпатином и армадами дроидов которых ведёт граф Дуку тёмный лорд ситхов. Республика медленно погружается во тьму. Лишь рыцари-джедаи защитники мира и справедливости могут противостоять злу которое вскоре поглотит галактику. Но настоящая битва идёт в душе у молодого рыцаря-джедая Энакина который разрывается между долгом джедая и любовью к своей жене сенатору Падме Амидале. И от того какое чувство в нём победит зависит будущее всего мира.,https://st.kp.yandex.net/images/film_iphone/iphone360_5619.jpg
173,Тренер Картер ,2005,0,8.041,Фильм основан на реальной истории происшедшей в 1999 году в Ричмонде штат Калифорния. Тренер школьной команды по баскетболу Кен Картер принял в середине сезона беспрецедентное решение запретив игрокам не испытавшим еще ни одного поражения выходить на площадку из-за низкой успеваемости в школе. В итоге команда пропустила две игры в чемпионате а юным баскетболистам был закрыт доступ в спортзал до тех пор пока они не стали хорошо учиться. Поступок Картера вызвал одновременно и одобрение и резкую критику со стороны родителей игроков и школьного руководства. Среди членов команды был и сын тренера поступивший впоследствии в престижное учебное заведение.,https://st.kp.yandex.net/images/film_iphone/iphone360_77531.jpg
174,Красота по-американски ,1999,0,7.971,Лестер Бернэм переживает кризис среднего возраста. Его не уважают и не ценят на работе а от счастливой семьи осталась лишь видимость. У жены Кэролайн страстный роман с коллегой по работе а угрюмая дочь-подросток Джейн увлечена соседским парнем побывавшим в психиатрической больнице.Терзаемый душевными муками Лестер впадает в депрессию. Но неожиданно для себя влюбляется в одноклассницу дочери Анджелу и эта страсть дает Лестеру мощный жизненный импульс. Он ощущает прилив сил и желаний и готов снова радоваться красоте.,https://st.kp.yandex.net/images/film_iphone/iphone360_351.jpg
