id,movie,year,country_id,rating_ball,overview,url_logo
29,ВАЛЛ·И ,2008,0,8.307,Робот ВАЛЛ·И из года в год прилежно трудится на опустевшей Земле очищая нашу планету от гор мусора которые оставили после себя улетевшие в космос люди. Он и не представляет что совсем скоро произойдут невероятные события благодаря которым он встретит друзей поднимется к звездам и даже сумеет изменить к лучшему своих бывших хозяев совсем позабывших родную Землю.,https://st.kp.yandex.net/images/film_iphone/iphone360_279102.jpg
30,Тайна Коко ,2017,0,8.608,12-летний Мигель живёт в мексиканской деревушке в семье сапожников и тайно мечтает стать музыкантом. Тайно — потому что в его семейном клане музыка считается проклятием. Когда-то его прапрадед оставил свою жену прапрабабку Мигеля ради мечты которая теперь не даёт спокойно жить Мигелю. С тех пор музыкальная тема в семье стала табу. Мигель обнаруживает что между ним и его любимым певцом Эрнесто де ла Крусом ныне покойным существует некая — пока неназванная — связь. Паренёк отправляется к своему кумиру в Страну Мёртвых где встречает души своих предков. Мигель знакомится там с духом-трикстером по имени Гектор (в облике скелета) который становится его проводником. Вдвоём они отправляются на поиски де ла Круса.,https://st.kp.yandex.net/images/film_iphone/iphone360_679486.jpg
31,Большой куш ,2000,6,8.536,Четырехпалый Френки должен был переправить краденый алмаз из Англии в США своему боссу Эви. Но вместо этого герой попадает в эпицентр больших неприятностей. Сделав ставку на подпольном боксерском поединке Френки попадает в круговорот весьма нежелательных событий.Вокруг героя и его груза разворачивается сложная интрига с участием множества колоритных персонажей лондонского дна — русского гангстера троих незадачливых грабителей хитрого боксера и угрюмого громилы грозного мафиози. Каждый норовит в одиночку сорвать Большой Куш.,https://st.kp.yandex.net/images/film_iphone/iphone360_526.jpg
32,Властелин колец: Две крепости ,2002,5,8.566,Братство распалось но Кольцо Всевластья должно быть уничтожено. Фродо и Сэм вынуждены доверить свои жизни Голлуму который взялся провести их к вратам Мордора. Громадная Армия Сарумана приближается: члены братства и их союзники готовы принять бой. Битва за Средиземье продолжается.,https://st.kp.yandex.net/images/film_iphone/iphone360_312.jpg
33,Американская история X ,1998,0,8.296,Лидер местной банды скинхедов Дерек Виньярд прочно удерживает авторитет в своём районе. Убеждённый в своей правоте он беспощадно расправляется с теми кто имеет не белый цвет кожи. Независимость и смелость Дерека вызывают восхищение у его младшего брата Дэнни который уже тоже сделал свой выбор.Но зверское убийство двух чернокожих парней совершённое Дереком разделяет дороги братьев: Дерек оказывается в тюрьме где существует свой расклад сил а Дэнни на свободе успешно продолжает дело брата. До тех пор пока их пути не пересеклись вновь…,https://st.kp.yandex.net/images/film_iphone/iphone360_382.jpg
34,Джентльмены удачи ,1971,2,8.526,Заведующему детсадом Трошкину фатально не повезло: он оказался как две капли воды похож на бандита по кличке «Доцент» похитившего уникальный шлем Александра Македонского.Милиция внедряет добряка Трошкина в воровскую среду — и ему ничего не остается кроме как старательно изображать своего двойника-злодея путая всех окружающих. Со временем он настолько блестяще входит в роль что сам начинает порой приходить в ужас. Между тем жизни его угрожает смертельная опасность…,https://st.kp.yandex.net/images/film_iphone/iphone360_44386.jpg
35,Пираты Карибского моря: Проклятие Черной жемчужины ,2003,0,8.334,Жизнь харизматичного авантюриста капитана Джека Воробья полная увлекательных приключений резко меняется когда его заклятый враг — капитан Барбосса — похищает корабль Джека Черную Жемчужину а затем нападает на Порт Ройал и крадет прекрасную дочь губернатора Элизабет Свонн.Друг детства Элизабет Уилл Тернер вместе с Джеком возглавляет спасательную экспедицию на самом быстром корабле Британии в попытке вызволить девушку из плена и заодно отобрать у злодея Черную Жемчужину. Вслед за этой парочкой отправляется амбициозный коммодор Норрингтон который к тому же числится женихом Элизабет.Однако Уилл не знает что над Барбоссой висит вечное проклятие при лунном свете превращающее его с командой в живых скелетов. Проклятье будет снято лишь тогда когда украденное золото Ацтеков будет возвращено пиратами на старое место.,https://st.kp.yandex.net/images/film_iphone/iphone360_4374.jpg
36,Остров проклятых ,2009,0,8.493,Два американских судебных пристава отправляются на один из островов в штате Массачусетс чтобы расследовать исчезновение пациентки клиники для умалишенных преступников. При проведении расследования им придется столкнуться с паутиной лжи обрушившимся ураганом и смертельным бунтом обитателей клиники.,https://st.kp.yandex.net/images/film_iphone/iphone360_397667.jpg
37,Темный рыцарь ,2008,0,8.499,Бэтмен поднимает ставки в войне с криминалом. С помощью лейтенанта Джима Гордона и прокурора Харви Дента он намерен очистить улицы от преступности отравляющей город. Сотрудничество оказывается эффективным но скоро они обнаружат себя посреди хаоса развязанного восходящим криминальным гением известным испуганным горожанам под именем Джокер.,https://st.kp.yandex.net/images/film_iphone/iphone360_111543.jpg
38,Пролетая над гнездом кукушки ,1975,0,8.541,Сымитировав помешательство в надежде избежать тюремного заключения Рэндл Патрик МакМерфи попадает в психиатрическую клинику где почти безраздельным хозяином является жестокосердная сестра Милдред Рэтчед. МакМерфи поражается тому что прочие пациенты смирились с существующим положением вещей а некоторые — даже сознательно пришли в лечебницу прячась от пугающего внешнего мира. И решается на бунт. В одиночку.,https://st.kp.yandex.net/images/film_iphone/iphone360_336.jpg
39,Титаник ,1997,0,8.365,В первом и последнем плавании шикарного «Титаника» встречаются двое. Пассажир нижней палубы Джек выиграл билет в карты а богатая наследница Роза отправляется в Америку чтобы выйти замуж по расчёту. Чувства молодых людей только успевают расцвести и даже не классовые различия создадут испытания влюблённым а айсберг вставший на пути считавшегося непотопляемым лайнера.,https://st.kp.yandex.net/images/film_iphone/iphone360_2213.jpg
40,12 разгневанных мужчин ,1956,0,8.51,Юношу обвиняют в убийстве собственного отца ему грозит электрический стул. Двенадцать присяжных собираются чтобы вынести вердикт: виновен или нет.С начала заседания почти все склонились к тому что виновен и лишь только один из двенадцати позволил себе усомниться. Счет голосов присяжных по принципу «виновен — невиновен» был 11:1. К концу собрания мнения судей кардинально изменились…,https://st.kp.yandex.net/images/film_iphone/iphone360_346.jpg
41,Запах женщины ,1992,0,8.449,Наступил День благодарения и отставной полковник разведки Фрэнк Слэйд решает справить праздник побаловав себя поездкой в Нью-Йорк. Фрэнк хочет обставить свой последний «коронный выход» по высшему разряду: изысканный отель шикарный лимузин дорогая выпивка и женщины потрясающей красоты.Есть лишь две проблемы. Первая: Фрэнк слеп на оба глаза. И вторая: волнующиеся родственники полковника решают нанять за небольшую сумму провожатого в лице нуждающегося студента престижного колледжа по имени Чарли Симмз. Последнее что было нужно в поездке полковнику Слэйду — так это «зеленый» юнец Чарли. Но случилось так что путешествие этих двух потрясающе непохожих друг на друга людей изменило их жизни навсегда.,https://st.kp.yandex.net/images/film_iphone/iphone360_4871.jpg
42,Пробуждение ,1990,0,8.438,Доктор Малколм Сэйер застенчивый врач и ученый использует экспериментальные препараты чтобы «пробуждать» обездвиженных жертв редкого заболевания. Леонард был первым пациентом получившим это неопробованное лечение. Его пробуждение наполненное благоговением страхом и энтузиазмом приводят как бы ко второму рождению и самого Сэйера по мере того как пациент открывает для себя и доктора простые радости жизни. Воодушевленный чудесным выздоровлением Леонарда Сэйер дает лекарство другим больным.,https://st.kp.yandex.net/images/film_iphone/iphone360_2950.jpg
43,В джазе только девушки ,1959,0,8.46,Когда чикагские музыканты Джо и Джерри случайно становятся свидетелями бандитской перестрелки они в срочном порядке смываются на поезде во Флориду прикинувшись женщинами. Теперь они — Джозефина и Дафна новенькие и хорошенькие инструменталистки женского джаз-бэнда.До поры до времени их маскировка срабатывает. Но вскоре любвеобильная солистка «западает» на переодетую мужчиной Джозефину престарелый плейбой влюбляется в Дафну а босс мафии разгадав тайну маскарада решает срочно разделаться со свидетелями.,https://st.kp.yandex.net/images/film_iphone/iphone360_356.jpg
44,Хатико: Самый верный друг ,2008,6,8.339,В основе сюжета — реальная история случившаяся в Японии и потрясшая весь мир. Однажды возвращаясь с работы профессор колледжа нашел на вокзале симпатичного щенка породы акита-ину. Профессор и Хатико стали верными друзьями. Каждый день пес провожал и встречал Профессора на вокзале. И даже потеря хозяина не остановила пса в его надежде что друг вернется.,https://st.kp.yandex.net/images/film_iphone/iphone360_387556.jpg
45,Огни большого города ,1931,0,8.503,Маленький Бродяга встречает красивую слепую девушку торгующую цветами на улице которая по ошибке принимает его за богатого герцога. Узнав о том что операция может вернуть ей зрение маленький Бродяга пускается на поиски денег.,https://st.kp.yandex.net/images/film_iphone/iphone360_414.jpg
46,Унесённые призраками ,2001,8,8.434,Тихиро с мамой и папой переезжают в новый дом. Заблудившись по дороге они оказываются в странном пустынном городе где их ждет великолепный пир. Родители с жадностью набрасываются на еду и к ужасу девочки превращаются в свиней став пленниками злой колдуньи Юбабы. Теперь оказавшись одна среди волшебных существ и загадочных видений Тихиро должна придумать как избавить своих родителей от чар коварной старухи.,https://st.kp.yandex.net/images/film_iphone/iphone360_370.jpg
47,Кавказская пленница или Новые приключения Шурика ,1966,2,8.457,Отправившись в одну из горных республик собирать фольклор студент Шурик влюбляется в симпатичную девушку Нину — спортсменку отличницу комсомолку и просто красавицу. Но её внезапно похищают банда их трёх человек чтобы насильно выдать замуж. Наивный Шурик не сразу сообразил что творится у него под носом — однако затем отважно ринулся освобождать кавказскую пленницу.,https://st.kp.yandex.net/images/film_iphone/iphone360_44745.jpg
